film_id,title,wikidata_uri,subject,predicate,object,sentence,extraction_method
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Bhavya Gandhi,star,Patel,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",root_verb_fallback
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Hymavathi Jadapolu,produce,Hyniva Creations LLP,"It is produced by Hymavathi Jadapolu, Sreeram Jadapolu under the banner of Hyniva Creations LLP.",root_verb_fallback
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Krishna Vamsi,feature,Mokksha,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",root_verb_fallback
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Mikey Madison,star,"Anora ""Ani"" Mikheeva","It stars Mikey Madison as Anora ""Ani"" Mikheeva, a lap dancer from New York who marries the wealthy son of a Russian oligarch played by Mark Eydelshteyn.",root_verb_fallback
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Yura Borisov,include,Karren Karagulian,"The supporting cast includes Yura Borisov, Karren Karagulian, Vache Tovmasyan, Darya Ekamasova, and Aleksei Serebryakov.",root_verb_fallback
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Darwin,produce,Dolwin Kuriakose,The film is produced by Darwin and Dolwin Kuriakose.,root_verb_fallback
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Tovino Thomas,feature,Siddique,"The film features Tovino Thomas in the lead role, alongside Indrans, Siddique, Shammi Thilakan, Sadiq, Azees Nedumangad, and Baburaj in the supporting roles.",root_verb_fallback
Q133895441,Any Day Now (2024 film),http://www.wikidata.org/entity/Q133895441,1990,base,Isabella Stewart Gardner Museum,"It is based on the 1990 Isabella Stewart Gardner Museum theft in Boston, offering a semi-fictionalized portrayal of the event.",root_verb_fallback
Q130282422,Anywhere Anytime,http://www.wikidata.org/entity/Q130282422,September 2024,premier,Italy,It premiered at the 81st Venice International Film Festival on 1 September 2024 and received a theatrical release in Italy on 11 September 2024.,root_verb_fallback
Q112865585,Apartment 7A,http://www.wikidata.org/entity/Q112865585,Natalie Erika James,star,Julia Garner,"Directed and co-written by Natalie Erika James, the film stars Julia Garner, Dianne Wiest, Jim Sturgess, and Kevin McNally.",root_verb_fallback
Q125769948,Appa I Love You,http://www.wikidata.org/entity/Q125769948,2024,love,Athrav Arya,"Appa I Love You is a 2024 Indian Kannada-language family drama film directed by Athrav Arya and starring Prem, Tabla Nani in the titular role, and Manvitha Kamath, Vikas and Jeevitha Vasishta.",root_verb_fallback
